class_long,class_short,meal_short,meal_long
,7,,
,,7,
,6,,
10,,,
,,8,
0,,,
,,8,
,,,6
,,,8
,,3,
8,,,
,3,,
,,5,
,7,,
,,,7
,,9,
3,,,
,8,,
,,,7
,,,4
,7,,
,,9,
,,7,
,8,,
8,,,
,,,9
,10,,
,,,5
5,,,
,,4,
,,8,
,,,6
,7,,
6,,,
,5,,
,,,6
,,8,
7,,,
,,10,
,7,,
,,,7
,,,10
,,8,
5,,,
,5,,
,,7,
,,,4
,7,,
7,,,
,,,7
8,,,
,6,,
,,10,
2,,,
,8,,
,,,6
7,,,
,,8,
,6,,
5,,,
,,,7
,,10,
,10,,
,,,5
,8,,
,3,,
8,,,
,,7,
,,10,
7,,,
,8,,
6,,,
,,7,
,,,4
7,,,
,8,,
,,,6
,,9,
8,,,
,,3,
,7,,
,,,6
,6,,
,,,3
3,,,
,,6,
,8,,
,,9,
7,,,
,,,6
,,10,
6,,,
,6,,
,,,10
,5,,
7,,,
,,,5
7,,,
,,7,
,,,9
,6,,
,,4,
,,,7
8,,,
,8,,
,,,10
5,,,
,6,,
,,5,
,,,10
,,4,
9,,,
,10,,
,,6,
,4,,
5,,,
,,,8
,8,,
4,,,
,,,8
,,7,
,8,,
,,,6
10,,,
,10,,
,,,6
,,10,
,,10,
,8,,
5,,,
,7,,
,,,7
,,7,
,,8,
,,,7
7,,,
,8,,
,,,7
7,,,
,,7,
,,,5
,3,,
10,,,
,,6,
,,10,
10,,,
,,,5
7,,,
,,8,
,8,,
,,8,
,4,,
6,,,
,,,6
,,3,
,,5,
5,,,
,7,,
,,,5
,,10,
,,9,
,,5,
,,7,
,,10,
10,,,
,10,,
,6,,
,8,,
,8,,
6,,,
10,,,
,8,,
8,,,
,,7,
,,,7
,,7,
,8,,
10,,,
3,,,
6,,,
,,8,
,,,9
,,,6
,7,,
,,,6
9,,,
,,6,
,,,5
,,,10
,10,,
,,6,
,,,4
,2,,
,,,6
8,,,
,8,,
,,,9
6,,,
8,,,
,8,,
,,7,
,,,8
,,7,
3,,,
,,,6
10,,,
,,10,
,,,10
,6,,
,,7,
4,,,
,,6,
,10,,
,,,6
4,,,
,,6,
,3,,
,,,3
,,6,
,8,,
,,,8
3,,,
,,,6
,6,,
7,,,
,,,6
,,7,
7,,,
,5,,
,,9,
,,,8
8,,,
,6,,
,,7,
2,,,
,10,,
,,6,